Producto,Medidas,Linea
POLIVITAM ,"

5.000.000 U.I
500.000 U.I
5.000 U.I
3 g
0.5 g
2 g
1.5 g
5 mg
7.5 g
3.5 g
20 g",Aves
VETHIPEN,"


75.000 Ul
75.000 Ul
150.000 Ul","Bovinos, Equinos, Ovinos, Caprinos y Caninos"
AFLOVET,"

10 g
5 g
3 g
2 g
1 g","Bovinos, Equinos, Porcinos, Ovinos, caprinos y Caninos"
RIPERCOL 12.5% INYECTABLE,"

125 mg
","Bovinos y Ovinos, Porcinos"
RABIGAN,"

25 mcg de glicoproteína del virus para una potencia NIH de 1 Ul",Bovinos
ALBENDAZOL 15%,"

15 g","Bovinos, Caprinos y Ovinos"
CLORTET,80%,Porcinos y Aves
ENTERODIAR,"

70 g.
22 g.
2 g.
0,03 g.
0,36 g.
0,28 g.","Equinos, Bovinos, Porcinos y Caninos"
VETYDERMA CHAMPÚ MEDICADO,"

12,5 g
0,20 g
3,50 g",Caninos y Felinos
ORAMISOL,"

90 g","Bovinos, Caprinos, Porcinos, Ovinos  y aves"
ALERVEC,"

25 mg","Bovinos, Equinos, Caninos y Felinos"
ESTREPTOVEC,"

250 mg","Bovinos, Equinos, Porcinos, Ovinos y Caprinos"
VITAMIN  ,"

20.000 mg
50 mg
2.000 Ul
50.000 Ul
50 mg
10 mg
10 mg
10 mg
3,5 mg
300 mg
0,55 mg
0,53 mg
50 mg
20 mg
100 mg
22 mg","Caninos,  Aves y Felinos"
COCCIDINA NF,"

20 g.
18 g.
24 g.","Equinos, Caninos y Aves"
SULFALLIDOL,"

2 g
6 g
15 g
1 g",No aplica
ZOO DERMIN SHAMPOO,"

30 g
4 g
0,5 mL",Caninos
HEMOVEC,"

100 mcg
15 mg
6,06 mg
6,0 mg
120 mg
6 mg

",No informa
INFLACOR INYECTABLE,"

2 mg.","Bovinos, Equinos, Porcinos, Caninos y Felinos"
IVOMEC INYECTABLE PARA SUINOS,"

10 mg",Porcinos
ORNIFER,,
ACTIYECK,"

1,7 g
3,47 g
38.7mL","Bovinos, Ovinos, Equinos, Porcinos y Caninos"
TRIMEDIAZINA (INYECTABLE),"





80 mg

400 mg","Bovinos, Equinos, Porcinos y Ovinos"
HEMATOBIOS 12,,
BUTAZINOL INYECTABLE,"

120 mg
2 mg","Equinos, Bovinos, Caninos y Porcinos"
SIMPROBAC (INYECTABLE),"

80 mg
400 mg
","Bovinos, Equinos, Porcinos, Ovinos, caninos, Felinos y Aves"
ZAKOR V,"

100 mg",Caninos y Felinos
SUPLE - MAG,"

0,1 g",Bovinos
ANTITOX,"


0,01 g","Bovinos, caprinos, equinos y ovinos"
KAVITEX,"

7 g",Aves
EMICINA OVULOS UTERINOS,"

500 mg","Bovinos, Equinos, Ovinos, Caprinos y Porcinos"
CANIVERMIN,"

100 mg",Caninos y Felinos
CLORDELIN V,"

300 mg.","Bovinos, Porcinos, Ovinos, Caninos y Felinos"
SYNESTRESS POLVO SOLUBLE,"

7.000.000 Ul
1.000.000 Ul
5.000 Ul
3 g
0,6 g
2 g
1,5 g
0,006 g
20 g
0,04 g
0,5 g
7,5 g
4 g
10 g
2,5 g
6 g
6 g",Aves
QUIMFAR XX-22 INYECTABLE,"

3.35 g","Bovinos, Equinos y Porcinos"
RAYOVACUNA,"


2 a 20 x 10 --- UFC","Bovinos, Equinos, Ovinos y Porcinos"
VETERGENTA,"

100 mg","Caninos, Felinos,  Bovinos, Equinos y Aves"
MEBENDAZOL SUSPENSIÓN,,
VETERGENTA GOTAS,"

1.0 mg
3.0 mg",Caninos y Felinos
ATROPINA SULFATO,"

1 mg.","Bovinos, Equinos, Porcinos, Caninos y Felinos"
HISTAVET,"

15 mg

","Caninos, Felinos, Bovinos y Equinos"
ZAKOR  ,"

20 g",Equinos
GENTOCIN INYECTABLE,"

50 mg","Caninos, Felinos, Equinos y Bovinos"
VETIMAST,"

235 mg",Bovinos
SHAMPOO MASCOTT,"

5 g
7,7 g
3 g

0,200 g
0,500 g",No aplica
MAMIDOL,"

3 g
5 g
3 g
5 g",No aplica
OXITETRACICLINA INYECTABLE 5.0%,"

46.3 mg","Bovinos, Porcinos, Equinos, Ovinos, Caninos, Felinos y aves"
VALBOVINO,"

7.5 g",Bovinos y Ovinos
ATROPINA SULFATO," 

1 mg",No informa
MINAVIAR ANTIESTRES,"

500.000 U.l
50.000 U.l
500 U.l
300 mg. 2.000mg.
200mgc.   500mgc.
1.800 mg.
1.900 mg.
",Aves
ECTOMIN 100 E.C.,"

10 g",Bovinos
NEOCLORDELIN,"

0.4  mg
50.0 mg
20.0 mg",Bovinos
HIDRAMIN ORAL,"

20 mg
5 mg
200,0 mg.
125 mg
25 mg
5 g
5 mg
5 ug
10 mg
100 mg

20 mg

5 mg

3 mg
4.5 mg
5 mg
6.5 mg
7.5 mg
12 mg
10 mg
",Caninos y Felinos
SIMPROBAC SUSPENSION ORAL,"

80 mg
400 mg","Aves, Bovinos, Equinos, Porcinos, Caninos y Felinos"
BONAVIT ,"


10 mg
3 mg
5 mg 
100 ug  
100 mg
5 mg","Bovinos, Caprinos, Ovinos, Porcinos, Caninos y Felinos."
CUTAMYCON-V-CREMA,"

1 g
0,5 g
0,04 g",Bovinos y Caninos
PENICILINA BENZATINICA + PROCAINICA Y POTASICA,"

150.000 Ul
75.000 Ul
75.000 Ul","Bovinos, Equinos, Ovinos, Caprinos, Porcinos y Caninos"
IO-BAC,"


15 mL
10 mL
12 mL",No informa
ZAKOR GRANULADO,"

80 mg.",Porcinos
VITAVECOL A,"

600.000 Ul
60 Ul","Bovinos, Caprinos, Ovinos, Equinos y Porcinos"
MEBENDAZOL SUSPENSION,"

20 g",Equinos
GENTAX 5 ,"


5 mg",Caninos y Felinos
QUIMOPEN,"


200.000 UI.
100.000 UI.
5 mg.","Bovinos, Equinos, Ovinos, Caprinos y Caninos"
RONDEL PUPPY,"

72 mg",Caninos y Felinos
DEXTROSA AL 5%,"

5 g","Bovinos, Equinos, Porcinos y Ovinos"
DEXTROSA AL 10%,"

10 g","Bovinos, Equinos, Porcinos y Ovinos"
AGUA ESTERIL USP,"

100 mL",No aplica
"DEXTROSA AL 5% EN SODIO CLORURO AL 0,9%","

0,9 g
5 g",No aplica
LACTATO DE RINGER (HARTMANN),"

0,6 g.
0,03 g.
0,02 g.
0,31 g.",A criterio de médico veterinario
SUERO FIOSOLOGICO SOLUCION SALINA NORMAL,"

900 mg
","No aplica
"
EXPOSHAMPOO,"

15 g
5 g
0,8 g
0,8 g",Equinos
EQUISAN ,"

30 g",Equinos
BENZAPEN D.A,"

125.000 Ul
125.000 Ul","Bovinos, Equinos, Porcinos, Ovinos, Caprinos y Caninos"
BENZAPEN 1 L.A,"

250.000 Ul
","Bovinos, Ovinos, Porcinos, Caprinos y Caninos"
CANISAN PUPPY,"

80 mg",Caninos
APIROPLASMINA,"

375.9 mg.
271 mg.",Bovinos y Equinos
EQUIVER SUSPENSION,"

20 g",Equinos
LEVAMISOL COJIN 4%,"

4 g","Bovinos, Ovinos y Porcinos"
SIMPROBAC T.S. INYECTABLE,"

80 mg.
400 mg.","Equinos, Porcinos, Caninos, Felinos y Rumiantes"
VITACALOX,"


20 g
150 mg
2000 Ul
50.000 Ul
25,0 mg
10 mg
10 mg
50 mg
30 mg
30 mcg
10 mg
3,5 mg","Bovinos, Equinos, Porcinos, Caninos y Felinos"
BIOVIT 9,"


7 g
70 mcg
21 g

175 mg
15 mg
15 mg
15 mg
0,5 mg
0,5 mg","Bovinos, Equinos, Porcinos, Caninos y Felinos"
COLIVET INYECTABLE,"

500 mg","Bovinos, Equinos, Ovinos, Porcinos y Caninos"
VITAMINA A ,"

500.000 Ul","Bovinos, Equinos, Ovinos y Porcinos"
ALBENDAVEM,"

15 g",Bovinos y Ovinos
EQUIMAS,"

20 g",Equinos
VITAVET INYECTABLE,"

5.000.000 Ul
10.000 mg
2.000 mg
500 mg
500 mg
500 mg
10,0 mg","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
FOSFOMIN INYECTABLE,"

250 mg
0,333 mg
25 mg","Bovinos, Equinos, Porcinos, Caprinos y Ovinos"
CURAVET,"

1 g.
1 g.
3 g.","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos y Felinos"
BENZAPEN 2 A.E,"

160.000 U.l.
80.000 U.l.
0.32 g","Bovinos, Equinos, Ovinos, Caprinos, Porcinos y Caninos"
EDO T-6,"


250 mg
20 mg
20 mg
200 mg
200 ug","Bovinos, Caprinos, Ovinos, Equinos, Caninos y Felinos"
BOLDENOL,"

25 mg","Bovinos, Equinos, Porcinos y Caninos"
FLATIVET SUSPENSION,"

30 g","Bovinos, Ovinos, Equinos y Caninos"
VITAMINA A ,"

625.000 Ul","Bovinos, Equinos, Ovinos y Porcinos"
DIUREYECK INYECTABLE,"

5 g","Bovinos, Equinos, Caninos y Felinos"
ENERGAN 50,"

50 g","Bovinos, Equinos, Ovinos y Porcinos"
PORCIMAS,"

8 g",Porcinos 
AZUL DE METILENO,"

98.5 g",No informa
GANALGINA,"

500 mg","Bovinos, Equinos, Porcinos, Ovinos, Caprinos y Caninos  "
VITAFOR-B,"

5 mg.
1  g.
10 g.
0,3 g.","Bovinos,Equinos,Porcinos,Ovinos,Caprinos, Caninos y Felinos"
VETERGENTA SOLUCION ORAL,"

5 mg ",Porcinos
GUAYACOLATO DE GLICERILO,"

50 mg.
50 mg.",Equinos 
VIG-A-SAN INYECTABLE,"

600.000 UI","Bovinos, Equinos,Porcinos y Ovinos "
CREO-TAY,"

165 mg","Bovinos,Equinos,Caprinos,Ovinos,Porcinos,Aves y Caninos"
ENERGAN 10,"

10 g","Bovinos, Equinos, y pequeños animales"
VICARPEN,"

225.000 Ul
75.000 Ul
300 mg
","Bovinos, Equinos, Ovinos, Porcinos y caninos"
SULFAMETAZINA,"

25 g","Bovinos,Equinos,Porcinos y Ovinos"
EQUIVERMIN,"

20 g",Equinos 
VITACHEM INYECTABLE,"

500.000 Ul","Bovinos, Equinos, Porcinos y Ovinos"
FUNGOFF,"

10 g
2 g",No aplica
CAN AMOR PERFUME,"

3,0",Caninos
ASARNYL VET,"

1 g
1 g
20 g
5 g
3 g","Bovinos,Equinos,Porcinos,Caninos y Felinos"
BIOQUAT -20,,
DEXAFLASH,"

2 mg ","Bovinos,Equinos,Porcinos,Caninos y Felinos"
MICILIN  MK INYECTABLE,"


132.000 Ul
132.000 Ul
264 mg","Bovinos, equinos, Porcinos, Ovinos y Caprinos"
OXITETRACICLINA MK L.A 200 mg,"

200 mg","Bovinos, caprinos, ovinos y porcinos "
BOVERMIN,"

15 g",Bovinos y Ovinos
VIG-A-SAN ORAL,"

30.000 UI","Bovinos, equinos, porcinos, ovinos"
CALMAYECK,"

16.0 g


4.124 g",Bovinos y Equinos
LARVADEX 1% PREMIX,"

1 g",Aves
PAREDON,"

150 g",Bovinos 
TONICARDINA SOLUCION INYECTABLE,"

20 mg
0,2 mg","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
GENTAX-100,"

100 mg","Aves, Bovinos, Equinos, Felinos y Caninos."
GANABOL,"

25 mg
","Bovinos, Equinos, Porcinos y Caninos"
CALFOSGAN,"





100 g
10,05 g
8,55 g
12,5 g","Bovinos, Equinos, Porcinos y Ovinos"
ALBENDASYN 20%,"

20 g","Bovinos, Ovinos y Porcinos"
VERMIGAN POLVO ORAL,"

90 g",Aves
PROCALFOS,"

   20 g
  6.8 g
  8.3 g
   16 g","Bovinos, equinos, porcinos, ovinos y caprinos"
CABATEL,"

300 mg ",Equinos 
AMPICILINA (POLVO SOLUBLE),"

20.0 g",Aves y Porcinos
VITACOMPLEX B12,"

5 mg
50 mg
0,100 mg
100 mg
5 mg
5 mg
20 mg
25.000 Ul","Bovinos, equinos, Porcinos, Ovinos y Caninos "
ROMO UNGÜENTO,"

45 g
",Bovinos
PENZONIL,"

2 g.
10 g.
5 g.",Bovinos
EQUIPUR,"

20 g","Equinos, mulares y asnales 
"
ERIPANTO,"

85 mg",Aves
RONCAINA,"


20 mg","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos y Felinos "
RONCAINA CON EPINEFRINA,"


20 mg

0,02 mg","Bovinos, Equinos, Porcinos, Ovinos, Caprinos Caninos y Felinos "
WEST GLO SHAMPOO,"

14.6 g

1.8 g
4.5 g",Animales domésticos
TRIMEDINA,,
STREPTOLAND ORAL,"          
                      380 mg               7,500 mg           674 mg               1050 mg","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
GLUCONATO DE CALCIO,"    
                           20 g","Bovinos, Equinos, Porcinos y Caninos"
BENZILAND L.A.,"


300.000 UI","Bovinos, equinos, porcinos, ovinos y caninos"
VIGOLAND ORAL AD₃E,"

30.000 UI
50 UI
12.500 UI","Bovinos,Equinos,Porcinos y Borregos "
DESCORNOL GEL,"

45 g ",Bovinos y Caprinos
COOPERTON,"

10 mg.
  5 mg.
50 mg.
50 mcg.","Bovinos , Equinos, Porcinos.Ovinos Y Caninos."
GLOBULIN SALES DE HIERRO Y COBRE,"

40 mg
0.4 mg","Terneros, Lechones y Corderos "
VIGOLAND A E INYECTABLE,"                                500,000 Ul            50 mg","Bovinos, Ovinos, Caprinos, Porcinos, Equinos, Caninos y felinos"
NUVAN 50 EC,  50 g,No aplica
LEVAMISOL 15%,"

150 mg","Bovinos, Ovinos, Caprinos y Porcinos"
OXILAND 200 L.A,"            
                   200 mL","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos y Felinos "
OXILAND 50,"     
                                50 mg ","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos y Felinos "
FOSFOLAND A+B12,"

8.0 g
1.500.000 UI
5.000 mcg","Bovinos,Equinos,Porcinos,Ovinos y Caninos "
MIXILAND F.M,"

334.0 mg
166.667 UI
166.667 UI","Bovinos, Equinos, Porcinos, Ovinos, Caprinos y Aves "
EDO MICINA 50,"     
                         50 mg","Bovinos, equinos, Porcinos, Ovinos, Caprinos, Caninos y aves"
DQSALAN A 600,"

600.000 UI","Bovinos, Ovinas y Porcinos "
VITAMINA A PALMITATO 500.000 UI,"

500.000 UI
","Bovinos, Ovinos y Porcinos"
LEVAMILAND 15%,                                 150 mg,"Bovinos, Ovinos, Caprinos y Porcinos "
