No REGISTRO,FECHA OTORGADO REGISTRO Y No RESOLUCION,FECHA MODIFICACION  Y Nª RESOLUCION,NOMBRE DEL PRODUCTO,NOMBRE EMPRESA,INGREDIENTE ACTIVO,CONCENTRACION,CAT TOXIC,CLASE DE PRODUCTO,TIPO FOR.,PAIS DE ORIGEN DEL PRODUCTO FORMULADO,CULTIVO,Name
,,01-08-2019/ 11514,,,,,,,,COLOMBIA,,Table3
15,01-10-2003 / 2709,"23/07/2010/ 2477
CANCELADO",CARBOFURAN 330 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.,CARBOFURAN,330 g/L,IA,INSECTICIDA,SC,NOGUERES FRANCIA,"ARROZ, PAPA ALGODONERO",Table3
16,01-10-2003 / 2711,"23-07-2010/ 2480
CANCELADO",CARBOFURAN 3 GR COLJAP,COLJAP INDUSTRIA AGROQUIMICA S.A,CARBOFURAN,0.03,II,INSECTICIDA,GR,FRANCIA,"MAIZ, ARROZ,  HABICHUELA, TOMATE,  PAPA,  ARVEJA, ALGODÓN, BANANO,  PLATANO, CAFETO",Table3
17,01-10-2003 / 2710,"07-05-2012/ 1211
31-01-2017/ 683
25-03-2019/ 3384
06-08-2020/ 072841",ABAMECAL®,ARYSTA LIFESCIENCE COLOMBIA S.A.S,ABAMECTINA,18 g/L,II,INSECTICIDA,EC,INDIA CHINA,"ROSA,TOMATE, CRISANTEMO, FRIJOL, NARANJO, AGUACATE",Table3
18,01-10-2003 / 2712,"14-04-2011/ 1688
30-10-2012/ 4264
01-02-2017/ 743
12-12-2019/ 20308
21-08-2020/ 073991",PROFENOCRON,ARYSTA LIFESCIENCE COLOMBIA S.A.S,PROFENOFOS,600 g/L,II,INSECTICIDA,EC,CHINA FRANCIA INDIA,"ARROZ, CLAVEL, PAPA",Table3
19,26-09-2003 / 2647,"20-02-2009/ 0507
11-08-2017/ 9732",SELLOCOL,ARYSTA LIFESCIENCE COLOMBIA S.A.S,PENDIMETHALINA,330 g/L,III,HERBICIDA,EC,FRANCIA INDIA CHINA,ARROZ,Table3
20,11-11-2003 / 3105,02-04-2004/ 0585,SECTIN WP,BAYER CROPSCIENCE  S.A,"FENAMIDONE, /MANCOZEB","100 g/kg,
500 g/Km",III,FUNGICIDA,WP,COLOMBIA,"PAPA, TOMATE, MELON, CEBOLLA",Table3
21,02-04-2004 / 0589,"23-08-2010/ 2795
07-09-2016/ 11503",METSUL 50 WP,ANASAC COLOMBIA LTDA,METSULFURON METIL,5,III,HERBICIDA,WP,CHILE CHINA,"ARROZ, POTREROS",Table3
22,28-07-2004 / 1566,,PREMAX 25 EC,ROTAM AGROCHEMICAL COLOMBIA LTDA,OXADIAZON,250 g/L,II,HERBICIDA,EC,CHINA,ARROZ,Table3
23,09-08-2004 / 1672,,ROMAX 38 SC,ROTAM AGROCHEMICAL COLOMBIA LTDA,OXADIAZON,380 g/L,II,HERBICIDA,SC,CHINA,ARROZ,Table3
24,27-04-2004 / 0737,"04-08-2008/ 2680
20-04-2016/ 4240",ATLAS 25 EW,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,TEBUCONAZOLE,250 g/L,II,FUNGICIDA,EW,BRASIL  COLOMBIA,"BANANO, GULUPA, CEBOLLA BULBO",Table3
25,,"05-05-2004/ 0763
CANCELADO",ATALAR EC,PROFICOL S.A,PROPANIL + TRICLOPYR,380 g/L,II,HERBICIDA,EC,,ARROZ,Table3
26,05-05-2004 / 0762,"12-04-2011/ 1651
01-05-2017/ 6581",ABASAC 1.8 EC,ANASAC COLOMBIA LTDA,ABAMECTINA,18 g/L,II,INSECTICIDA,EC,CHILE CHINA,"ROSA,TOMATE, LIMON, AGUACATE",Table3
27,17-05-2004 / 0956,"12-09-2005/ 2694
REGISTRO CANCELADO CON RESOLUCION 21045
DEL 17-12-2019",BANATOKA,PRODUMIX LTDA,SULFATO DE COBRE PENTAHIDRATADO + TIOSULFATO SULFATO DE SODIO,43.2 / 251.12 g/L,III,FUNGICIDA,SL,COLOMBIA,BANANO,Table3
,,19-10-2012/ 4045,,,,,,,,,"LECHUGA, CLAVE,L,",Table3
28,25-05-2004 /1014,02-09-2016/ 11260,METAREX GR,UNDAGRO S.A.S,METALDEHIDO,50 g/Kg,III,INSECTICIDA,GR,FRANCIA,"MELON, UCHUVA,",Table3
,,16-04-2018/ 23078,,,,,,,,,PIÑA,Table3
29,03-06-2004 / 1077,"26-10-2009/ 4065
26-07-2016/ 9227
20-06-2017/ 7450
27-06-2019/ 8711
05-02-2020/ 61392",CYMOZEB,TECNOQUIMICAS  S.A,MANCOZEB + CYMOXANIL,"640%
80%",III,FUNGICIDA,WP,CHINA INDIA,"PAPA ,ROSA",Table3
30,25-06-2004 / 1245,07-05-2008/ 1326,FORMAT 200 SC,QUIMICOS OMA S.A,PROPINEB,200 g/L,III,FUNGICIDA,SC,COLOMBIA,"CLAVEL, CEBOLLA, POMPON, ROSA, TOMATE",Table3
31,17-09-2004 / 1989,,K-DIURON 500 SC,AGROSER  S.A,DIURON,500 g/K,III,HERBICIDA,SC,VENEZUELA,CAFÉ,Table3
32,17-08-2004 /1710,,GLYFOAICA SL,AGROSER  S.A,GLIFOSATO,480 g/L,III,HERBICIDA POST EMERGENTE,SL,VENEZUELA,"SORGO, CAÑA DE AZUCAR,
CAFÉ, PALMA AFRICANA, PLATANO, BANANO,
AREAS NO AGRICOLAS CANALES",Table3
33,08-06-2004 / 1092,"23-06-2016/ 7730
16-07-20197 9911
30/03/2020/ 064694",BREST 75 WP,TECNOQUIMICAS  S.A,TRICYCLAZOL,0.75,III,FUNGICIDA,WP,CHINA,ARROZ,Table3
34,08-06-2004 / 1093,"SE DEROGA Y SE OTORGA REG NAL NAL 1014 CON RESOLUCION 5385 DEL 27-
12-2011",ACTINIC 200 SL,TECNOQUIMICAS  S.A,PARAQUAT DICLORURO,200 g/L,I,HERBICIDA,SL,CHINA COLOMBIA,"BANANO, CACAO, CAFÉ, CITRICOS, PALMA AFRICANA,
UVA, ALGODÓN, CAÑA, PAPA, MAIZ, TOMATE, ARROZ,  FRIJOL, LECHUGA,  MAIZ, SORGO",Table3
35,31-08-2004 / 1782,,CITREX 25 EC,AGROSER  S.A,"CIPERMETRINA
5 de 365",250 g/L,II,INSECTICIDA,EC,VENEZUELA,ALGODÓN,Table3
36,02-08-2004 / 1590,,FUNCYZEB,UNDAGRO S.A.,MANCOZEB + CYMOXANIL,70%              6%,III,FUNGICIDA,WP,ITALIA,PAPA,Table3
37,18-08-2004 / 1714,,DINAXINE 480 SL,AGROSER  S.A,"ACIDO 2,4-D",480 g/L,III,HERBICIDA,SL,VENEZUELA,"MAIZ, ARROZ
POTREROS, CAÑA DE AZUCAR, SORGO",Table3
38,04-08-2004 / 1600,,DINAXINE 720 SL,AGROSER  S.A,"ACIDO 2,4-D",720 g/L,III,HERBICIDA,SL,VENEZUELA,"MAIZ, ARROZ, CAÑA DE AZUCAR, SORGO",Table3
39,18-08-2004 / 1715,"04-12-2013/ 5082
15-04-2015/ 1098",AGRAMINA 720 SL,AGROSER  S.A,"ACIDO 2,4-D",720 g/L,III,HERBICIDA,SL,"VENEZUELA, CHINA","MAIZ, ARROZ, CAÑA DE AZUCAR, SORGO",Table3
40,30-07-2004/ 1581,"22-11-2013/ 4917
06-12-2013/ 5128
07-05-2015/ 1367",GRANTIK SL,AGROSER  S.A,GLIFOSATO,480 g/L,III,HERBICIDA POST EMERGENTE,SL,"VENEZUELA, CHINA","SORGO, CAÑA DE AZUCAR,
CAFÉ, PALMA AFRICANA, PLATANO, BANANO,
POTREROS, AREAS NO AGRICOLAS CANALES",Table3
41,28-07-2004 / 1562,"23-08-2010/ 2794
18-03-2015/ 800",CIGARAL 70  WP,ANASAC COLOMBIA LTDA,IMIDACLOPRID,700 g/kg,III,INSECTICIDA,WP,"CHILE, CHINA","ROSA,  ARROZ, TOMATE, AJI,
AJI DULCE, BERENJENA, LULO, PIMENTON,
TOMATE DE ARBOL, UCHUVA",Table3
42,09-08-2004 / 1671,13-02-2008/ 0341,METSULFURON AGROGEN 60% WP,NUFARM COLOMBIA S.A,"METSULFURON METIL
6 de 365",600 g/kg,III,HERBICIDA,WP,CHINA,ARROZ,Table3
43,16-05-2005 / 1416,18-02-2008/ 0489,GLIFOSATO AGROGEN 747 SG,NUFARM COLOMBIA S.A,GLIFOSATO,747 g/kg,III,HERBICIDA,SG,CHINA,"CULTIVOS ANUALES Y PASTURAS CULTIVOS PERENNES, PLATANO,
BANANO, CACAO,
CAFÉ, PALMA AFRICANA, CITRICOS Y
OTROS FRUTALES, AREAS NO  cultivadas.",Table3
44,31-08-2004 / 1781,11-10-2005/ 2900,CURTAIL 25 EC,AGROSER  S.A,CIPERMETRINA,250 g/L,II,INSECTICIDA,EC,VENEZUELA,ALGODÓN,Table3
45,07-09-2004 / 1818,"30-09-2004/ 2053
26-02-2016/ 1867",EXOCET 35 SC,ANASAC COLOMBIA LTDA,QUINCLORAC,35g/100 ml,III,HERBICIDA,SC,CHILE CHINA,ARROZ,Table3
46,25-08-2004 /1755,"17-07-2005/ 1810
11-02-2013/ 548","RODELTA® 2,5 EC",ROTAM AGROCHEMICAL COLOMBIA S.A.S  ROTAM S.A.S O ROTAM AGROCOLOMBIA S.A.S,DELTAMETRINA,"25,5 g/L",II,INSECTICIDA,EC,CHINA,"PAPA, POMPON, ARROZ",Table3
47,18-08-2004 / 1716,,AGRAMINA 480 SL,AGROSER  S.A,"ACIDO 2,4-D",480 g/L,III,HERBICIDA,SL,VENEZUELA,"MAIZ,ARROZ,
POTREROS, CAÑA DE AZUCAR,,SORGO",Table3
48,25-08-2004  / 1751,"17-06-2008/ 1917
17-07-2013/ 3203",POTRERON 101,AGROSER  S.A,"PICLORAM, 2,4-D","64 g/L
240 g/L",III,HERBICIDA,SL,COLOMBIA,POTREROS,Table3
49,26-08-2004 / 1759,"28-04-2008/ 1267
29-05-2014/ 1619
24-04-2018/ 23682
01-06-2020/  069063",FORMAT 70 WP,QUIMICOS OMA S.A,"PROPINEB
7 de 365",700 g/kg,III,FUNGICIDA,WP,COLOMBIA CHINA,"CLAVEL,PAPA, ROSA",Table3
50,17-09-2004 / 1986,,SELLALIN 330 EC,SUCROP S.A.,PENDIMETALINA,330 g/L,III,HERBICIDA,EC,ESPAÑA,ARROZ,Table3
51,07-09-2004 / 1817,,DESIGNEE 100 SC,AGROSER  S.A,BISPYRIBAC SODICO,100 g/L,III,HERBICIDA,SC,ISRAEL,ARROZ,Table3
52,17-09-2004 / 1987,"07-10-2011/ 3881
13-05-2015/ 1416",NIMROD 25 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,BUPIRIMATE,250 g/L,III,FUNGICIDA,EC,ISRAEL,ROSAS,Table3
53,04-10-2004/ 2076,"26-04-2016/ 4562
01-02-2018/ 20079
23-06-2020/  070193",ANTRASIN P.C.,SAFER AGROBIOLOGICOS S.A.S,SULFATO DE COBRE PENTAHIDRATADO + SULFATO DE CALCIO,"18.00%
21.00 %",IV,FUNGICIDA,PC,COLOMBIA,"ASTER, MANGO, AGUACATE, DURAZNO, MARACUYA, GULUPA, GRANADILLA, BADEA,
CHULUPA, CURUBA, BANANO",Table3
54,17-11-2004 / 2618,17-11-2004/ 2618,SANGOTAN® WP,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,OXADIXIL + MANCOZEB,"100 g/kg         560
g/kg",III,FUNGICIDA,WP,COLOMBIA,"PAPA,  ROSA, TOMATE, CEBOLLA BULBO, TOMATE DE ARBOL,
,LULO, BERENJENA,
CEBOLLA LARGA,  PUERRO, PIÑA",Table3
55,30-09-2004 / 2049,26-02-2015/ 632,OXAMECT 250 CE,AGROSER  S.A,OXADIAZON,250 g/L,II,HERBICIDA PRE y POST EMERGENTE,EC,"CHINA, VENEZUELA",ARROZ,Table3
56,08-10-2004 / 2115,06-02-2008/ 0286,GLIFOGEN 648 SL,NUFARM COLOMBIA S.A,"GLIFOSATO
8 de 365",648 g/L,III,HERBICIDA,SL,COLOMBIA,"ARROZ, ALGODÓN, SORGO, MAIZ,
CAÑA DE AZUCAR, MALEZAS EN GENERAL, MALEZAS ANUALES Y PERENNES",Table3
57,12-10-2004 / 2147,"23-08-2010/ 2796
17-03-2014/ 845
11-08-2016/ 10226",ELICIT 80 WP,ANASAC COLOMBIA LTDA,FOSETYL ALUMINIO,800 g/kg,III,FUNGICIDA,WP,CHILE CHINA,"ROSAS DE CORTE, PIÑA",Table3
58,04-10-2004 / 2075,"31-12-2008/ 4799
10-09-2015/ 3220",CALLISTO 480 SC,SYNGENTA S.A,MESOTRIONE,480 g/L,II,HERBICIDA,SC,"ESTADOS UNIDOS, BRASIL","CAÑA DE AZUCAR, MAIZ",Table3
59,08-10-2004 / 2116,,GRO STOP 300 EC,SYNGENTA S.A,CLORPROFAM,306 g/L,III,REGULADOR DE CRECIEMIENTO,EC,HOLANDA,PAPA,Table3
60,19-10-2004 / 2247,"13-03-2013/ 1343
15-07-2019/ 9845",PROSPER EC 500,BAYER  S.A,SPIROXAMINE,500 g/L,II,FUNGICIDA,EC,ALEMANIA,ROSA,Table3
61,28-10-2005 / 3088,"18-02-2008/ 0488       19-
08-2015/ 2867
15-05-2018/ 24758",RELEVO 350 SC,AGROSER  S.A,IMIDACLOPRID,350 g/L,II,INSECTICIDA,SC,VENEZUELA CHINA,"ROSAS,MAIZ,TOMATE, ARROZ",Table3
62,28-10-2005 / 3088,18-02-2008/ 0488,PROPANIL AGROGEN 480 EC,NUFARM COLOMBIA S.A,PROPANIL,480 g/L,II,HERBICIDA,EC,CHINA,ARROZ,Table3
63,29-10-2004 / 2342,"13-05-2009/ 1743
30-10-2013/ 4476
13-08-2015/ 2833
29-05-2018/ 25943
22-07-2019/ 10455",INIMECTIN 1.8 EC,AGROSER  S.A,"ABAMECTINA
9 de 365",18.83 g/L,II,INSECTICIDA,EC,CHINA,"ROSAS, FRIJOl, NARANJA,LIMON, MANDARINA, LIMA, TANGELO,TORONJA",Table3
64,29-10-2004 / 2340,"20-02-2008/ 0546
08-08-2014/ 2402
09-09-2019/ 13971",PILARXONE SL,PILARQUIM DE COLOMBIA LTDA,PARAQUAT,200 g/L,II,HERBICIDA DE CONTACTO,SL,TAIWAN CHINA,"ARROZ,PAPA",Table3
65,29-10-2004 / 2333,,CINNAMITE SL,MAYORISTAS AGRICOLAS S.A MAGRO S.A,CINAMALDEHIDO,300 g/L,II,INSECTICIDA- ACARICIDA,SL,ESTADOS UNIDOS DE AMERICA,"ROSA, CLAVEL, POMPON",Table3
66,25-11-2004 / 2668,"29-08-2011/ 3318
30-10-2013/ 4477
25-09-2014/ 3065
07-05-2015/ 1376
17-07-2019/ 10011",DIUREX® 80 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,DIURON,800 g/Kg,II,HERBICIDA,WG,ISRAEL,"CAÑA DE AZUCAR, YUCA",Table3
67,09-11-2004 / 2517,"11-03-2019/ 2471
30-11-2019/ 19358",POLY D YANBER,CORPORACION DE PLASTICOS AGRICOLAS-CORPOAGRO S.A.S,CLORPIRIFOS,10 g/Kg,III,INSECTICIDA,BOLSA PLASTICA,COSTA RICA,BANANO,Table3
68,18-11-2004 / 2628,"12-01-2012/ 0014
30-10-2013/ 4478
19/09/2017/ 11381
12-09-2018/ 32010
26-09-2019/ 15219",PHOSTROL® SL,NUFARM COLOMBIA S.A,FOSFITO MONO Y DIBASICO DE NA Y K,"802 g/L          518
g/L",IV,FUNGICIDA,SL,ESTADOS UNIDOS,"ROSA, PAPA,  AGUACATE, TOMATE, ARROZ,  PIÑA",Table3
69,14-10-2005/ 2942,"24-11-2011/ 4672
19-09-2016/ 12494
20-05-2019/ 6740",LASH® 40 SP,ROTAM AGROCHEMICAL COLOMBIA S.A.S,METHOMYL,400 g/kg,IB,INSECTICIDA,SP,CHINA TAIWAN,"PAPA,  ALGODÓN,  ARROZ",Table3
70,07-01-2005/ 0038,07-01-2005/ 0285,AMINA AGROGEN 480 SL,NUFARM COLOMBIA S.A,"2,4-D
10 de 365",480 g/L,II,HERBICIDA,SL,CHINA,POTREROS,Table3
71,09-12-2012/ 2749,"30-11-2004/ 2703
REGISTRO CANCELADO CON RESOLUCION 21045
DEL 17-12-2019",OIDIOMIL,PRODUMIX LTDA,POLISULFURO DE CALCIO COMO AZUFRE TOTAL // POLISULFURO DE CALCIO COMO CALCIO,"173 g/L
42.6 g/L",III,FUNGICIDA,SL,COLOMBIA,ROSA,Table3
72,28-12-2004/ 3335,"19-10-2007/ 2789
19-02-2019/ 1542",ABAMEX 1.8 EC,TRUST QUIMICA S.A.S.,ABAMECTINA,18 g/L,II,INSECTICIDA,EC,CHINA,"ROSAS, CRISANTEMO, GYPSOPHILA,
CEBOLLA DE BULBO",Table3
73,25-11-2004/ 2667,25-11-2004/ 2667,SIPERUS 250 SC,ROTAM AGROCHEMICAL COLOMBIA LTDA,PYRAZOSULFURON ETHYL,250 g/L,II,HERBICIDA,SC,CHINA,ARROZ,Table3
74,07-01-2005/ 0033,"30-12-2011/ 5471
08-07-2016/ 8394
16-08-2017/ 10009
05-05-2019/ 5923
26-02-2020/ 62693",DINASTIA®  EC,BAYER  S.A,DELTAMETRINA,100 g/L,II,INSECTICIDA,EC,COLOMBIA GUATEMALA,"ALGODÓN,  ARROZ,  MAIZ, PAPA",Table3
75,30-11-2004/ 2704,16-07-2014/ 2165,MAXIM XL 035 FS,SYNGENTA S.A,FLUDIOXONIL + METALAXIL - M,"25 g/L
10 g/L",II,FUNGICIDA,FS,"BRASIL
, FRANCIA",MAIZ,Table3
76,06-12-2004/ 2731,"17-12-2007/ 3594
28-05-2013/ 2425",ABAMECTINA AGROGEN 1.8% EC,NUFARM COLOMBIA S.A,"ABAMECTINA AGROGEN 1,8% EC",18 g/L,II,INSECTICIDA,EC,CHINA,ROSA TOMATE NARANJA,Table3
77,15-12-2004/ 3127,02-12-2016/ 17961,BUTHAMARK 600 EC,TRUST QUIMICA S.A.S,"BUTACLOR
11 de 365",600 g/L,III,HERBICIDA,EC,ESPAÑA CHINA,ARROZ,Table3
78,15-12-2004/ 3131,"11-07-2005/ 2062
07-01-2014/ 001
29-09-2014/ 3107
24-04-2020/ 066040",CUMBRE WP,MAYORISTAS AGRICOLAS S.A MAGRO S.A,SULFATO DE GENTAMICINA - CLORHIDRATO DE OXITETRACICLINA,"100 g/Kg
300 g/kg",III,BACTERICIDA,WP,MEXICO,"CALLAS, TOMATE, ARROZ , PIÑA, BANANO, PLÁTANO",Table3
79,21-12-2004/ 3265,"19-10-2007/ 2790
26-08-2016/ 10762
21-08-2020/ 073983",BROKER 480 SL,TRUST QUIMICA S.A.S,GLIFOSATO,480 g/L,III,HERBICIDA,SL,CHINA,"MALEZAS ANUALES,  PERENNES, HOJA ANCHA",Table3
80,28-12-2004/ 3332,"17-12-2007/ 3601
19-02-2019/ 1542
25-03-2019/ 3393",PENDIMETALINA TRUST 400 EC,TRUST QUIMICA S.A.S.,PENDIMETALINA,400 g/L,III,HERBICIDA,EC,CHINA INDIA,"MAIZ, SOYA, SORGO, ALGODÓN, TABACO RUBIO,
ARROZ, CEBOLLA DE BULBO, TOMATE ,CAFÉ, PLATANO",Table3
81,07-01-2005/ 0040,22-01-2014/ 262,CARBENDAZIM 500 SC AGRICENSE,AGRICENSE LTDA,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,"INGLATERRA, CHINA","ARROZ, FRESA, CLAVEL FRIJOL",Table3
82,07-01-2005/ 0041,,CARBENDAZIM 50 WP,AGRICENSE LTDA,CARBENDAZIM,500 g/kg,III,FUNGICIDA,WP,INGLATERRA,"ARROZ, FRESA, CLAVE, FRIJOL",Table3
83,30-09-2005/ 2835,"07-02-2012/ 263
25 -07-2012/ 2293
18-03-2020/ 63984",FOSETYL AGROGEN® 800 WP,NUFARM COLOMBIA S.A,FOSETYL ALUMINIO,800 g/L,III,FUNGICIDA,WP,CHINA,"PIÑA, ROSA,TOMATE",Table3
84,07-01-2005/ 0039,17-09-2019/ 14468,PILARZEB 80 WP,PILARQUIM DE COLOMBIA LTDA,MANCOZEB,0.8,III,FUNGICIDA,WP,SHANGHAI REP-CHINA,"PAPA, ARROZ, CEBOLLA, CEBADA, CALABAZA, PEPINO,  FRIJOL, ARVEJA, LECHUGA, MELON, SANDÍA,TRIGO,  AVENA, TOMATE,  UVA, PIMENTON,
AJÍ,  MANZANA,  MANGO, PAPAYA, RISANTEMO, ROSAS",Table4
85,28-12-2004/ 3334,,METSURAM 200 WG,ROTAM AGROCHEMICAL COLOMBIA LTDA,METSULFURON METIL,200 g/kg,III,HERBICIDA,WG,CHINA,POTREROS,Table4
86,03-03-2005/ 0543,,VIMEC 1.8 EC,VICAR DE COLOMBIA S.A.,ABAMECTINA,18 g/L,II,INSECTICIDA,EC,ESPAÑA,ROSAS,Table4
87,2812-2004/ 3333,"07-02-2012/ 262
02-07-2015/ 2283
30-10-2018/ 35259
30-05-2019/ 7276",LASH® 216 SL,ROTAM AGROCHEMICAL COLOMBIA S.A.S,METHOMYL,216 g/L,IB,INSECTICIDA,SL,COLOMBIA CHINA TAIWAN,"ARROZ, SORGO",Table4
88,07-01-2005/ 0036,12-04-2011/ 1649,SPECTRO 40 EC,ANASAC COLOMBIA LTDA,PENDIMETALINA,400 g/L,III,HERBICIDA,EC,CHILE CHINA,ARROZ,Table4
89,14-02-2005/ 0418,"01-11-2011/ 4155
09-02-2015/ 313
01-10-2015/ 3523
22-11-2017/ 15537",PROAXIS 60 CS,FMC COLOMBIA S.A.S,GAMMA CYHALOTHRINA,60 g/L,II,INSECTICIDA,CS,CHINA INDIA,"PAPA, TOMATE,  PASTOS, ROSA,  ALGODÓN, REPOLLO,
ARROZ , AGUACATE, NARANJA",Table4
90,CANCELADO,,,,,,,,,,,Table_3
91,19-01-2005/ 0164,"12-01-2012/ 0015
13-05-2015/ 1417
24-04-2018/ 23673
20-12-2018/ 39332
01-04-2020/  064836",BANAGEN® 250 EC,NUFARM COLOMBIA S.A,DIFENOCONAZOLE,250 g/L,II,FUNGICIDA,EC,CHINA INDIA,PLÁTANO-BANANO-ROSAS-UCHUVA-CEBOLA BULBO-CEBOLLA JUNCAFRIJOL-ARROZ,Table_3
92,17-02-2005/ 0453,12-04-2011/ 1646,MILOR 72 WP,ROTAM AGROCHEMICAL COLOMBIA S.A.S,METALAXIL + MANCOZEB,"80 g/kg
640 g/kg",II,FUNGICIDA,WP,CHINA,"PAPA, ROSAS, TOMATE",Table_3
93,14-02-2005/ 0416,"14-04-2011/ 1686
09-10-2018/ 33990",DAKOTA 48 EC,ANASAC COLOMBIA LTDA,CLOMAZONE,480 g/L,III,HERBICIDA,EC,CHILE CHINA,ARROZ,Table_3
